1,1,6
10,10,15
11,11,16
12,14,19
12,13,18
12,12,17
13,15,20
14,16,21
15,17,22
16,17,23
17,18,25
18,19,26
19,20,27
2,2,7
20,17,24
21,21,28
22,22,29
23,23,30
23,24,31
24,25,32
25,27,34
25,26,33
26,28,35
27,29,36
28,30,37
29,31,38
3,3,8
30,33,40
30,32,39
31,34,41
32,35,42
33,36,43
34,37,44
34,38,45
35,39,46
36,40,47
37,41,48
38,41,49
39,42,50
4,4,9
40,42,51
41,43,52
42,44,53
43,45,54
44,46,55
45,47,56
46,48,57
47,49,58
48,50,59
49,51,60
5,5,10
50,51,61
51,52,62
52,53,63
53,54,64
54,55,65
55,56,66
56,57,67
57,59,69
57,58,68
58,60,70
58,61,71
59,63,73
59,62,72
6,6,11
60,64,74
61,65,75
62,65,76
63,65,77
64,66,78
65,67,79
66,69,81
66,68,80
67,70,82
67,71,83
67,72,84
68,73,85
69,74,86
7,7,12
70,75,87
71,77,89
71,76,88
72,78,90
72,79,91
73,80,92
74,80,93
75,82,2
75,81,1
76,51,3
76,83,4
76,52,5
8,8,13
9,9,14
