1,BI,L1t,O&SE
2,BI,L1t,ScE
3,BI,L1c,IrE
4,BI,L1c,ManxE
5,BI,L1c,WelE
6,BI,L1t,North
7,BI,L1t,SW
8,BI,L1t,EA
9,BI,L1t,SE
10,BI,L1c,ChIsE
11,BI,Cr,BrC
12,BI,L1c,MaltE
13,Am,L1t,NfldE
14,Am,L1c,CollAmE
15,Am,L1c,UAAVE
16,Am,L1c,RAAVE
17,Am,L1c,EAAVE
18,Am,L1t,OzE
19,Am,L1t,AppE
20,Am,L1t,SEAmE
21,Am,Cr,Gullah
22,Am,L2,ChcE
23,Ca,L1c,BahE
24,Ca,Cr,BahC
25,Ca,Cr,Bajan
26,Ca,L2,JamE
27,Ca,Cr,JamC
28,Ca,Cr,SanAC
29,Ca,Cr,BelC
30,Ca,Cr,GuyC
31,Ca,Cr,EMarC
32,Ca,Cr,Saramaccan
33,Ca,Cr,Sranan
34,Ca,Cr,TrinC
35,Ca,Cr,VinC
36,Af,Cr,Krio
37,Af,L1c,LibSE
38,Af,P,VLibE
39,Af,L2,GhE
40,Af,P,GhP
41,Af,L2,NigE
42,Af,P,NigP
43,Af,L2,CamE
44,Af,P,CamP
45,Af,L2,TznE
46,Af,L2,KenE
47,Af,L2,UgE
48,Af,L1c,WhZimE
49,Af,L2,BlSAfE
50,Af,L2,InSAfE
51,Af,L1c,WhSAfE
52,As,L2,IndE
53,As,L2,PakE
54,As,P,ButlE
55,As,L2,SLkE
56,As,L2,HKE
57,As,L1c,CollSgE
58,As,L2,MalE
59,Au,L1c,AusE
60,Au,L1c,AusVE
61,Au,L1c,AborE
62,Au,Cr,RRC
63,Au,Cr,TorSC
64,Pa,L1c,NZE
65,Pa,P,Norf'k
66,Pa,Cr,PalmE
67,Pa,L2,FijiE
68,Pa,L2,CollFijiE
69,Pa,Cr,Bislama
70,Pa,P,TP
71,Pa,Cr,HawC
72,SA,L1c,FlkE
73,SA,L1c,StHE
74,SA,L1c,TdCE
75,As,L1c,PhilE
76,Af,L2,CFE
