example,source,description
1106,mmb,Cardiff
1107,orton19621971,
1108,penhallurick1991,179
1109,voices,Talbot.Green
1110,parry1999,110
1111,voices,Flint
1112,voices,Holyhead
1113,voices,Treorchy
1114,penhallurick1991,208
1115,orton19621971,
1116,mmb,Swansea
1117,voices,Bonymaen
1118,voices,Splott
1121,penhallurick1991,206
1122,voices,Tregaron
1123,voices,Bonymaen
1124,voices,Builth.Wells
1131,paulasto2006,162
1132,voices,Bonymaen
1133,paulasto2006,162
1134,voices,Bonymaen
1135,paulasto2006,162
1136,voices,Bonymaen
1137,penhallurick1991,209
1138,parry1999,119
1139,voices,Talbot.Green
1140,voices,Holyhead
1141,voices,Bethesda
1142,voices,Builth.Wells
1144,voices,Holyhead
1152,voices,Bonymaen
1153,voices,Splott
1154,fred,Som_009
1155,fred,Som_022
1156,fred,Dev_007
1157,fred,Wil_015
1158,fred,Dev_001
1159,fred,Wil_022
1160,fred,Som_011
1161,fred,Som_009
1162,fred,Con_003
1163,fred,Dev_008
1164,fred,Som_009
1165,fred,Dev_007
1166,fred,Wil_009
1167,fred,Wil_011
1168,fred,Som_030
1169,fred,Wil_024
1170,fred,Som_030
1171,fred,Wil_008
1172,fred,Con_008
1173,fred,Con_011
1174,fred,Som_028
1175,fred,Wil_017
1176,fred,Som_005
1177,fred,Con_004
1178,fred,Wil_012
1179,fred,Wil_005
1180,fred,Wil_017
1181,fred,Con_004
1182,fred,Con_004
1183,fred,Dev_007
1184,fred,Oxf_002
1185,fred,Con_003
1186,fred,Wil_005
1187,fred,Dev_010
1188,fred,Som_014
1189,fred,Wil_010
1190,fred,Som_028
1191,fred,Som_028
1192,fred,Wil_001
1193,fred,Wil_012
1194,fred,Dev_001
1195,fred,Con_003
1196,fred,Con_006
1197,fred,Wil_017
1198,fred,Som_006
1199,fred,Con_007
1200,fred,Wil_001
1202,fred,Dev_001
1203,fred,Som_001
1204,fred,Wil_010
1205,fred,Wil_005
1206,fred,Wil_001
1207,fred,Dev_001
1208,fred,Dev_001
1209,fred,Som_025
1210,fred,Wil_015
1211,fred,Som_001
1212,fred,Dev_011
1213,fred,Con_011
1214,fred,Som_003
1215,fred,Dev_008
1216,fred,Wil_002
1217,fred,Som_009
1218,fred,Dev_001
1219,fred,Wil_017
1220,fred,Som_019
1221,fred,Som_028
1222,fred,Dev_007
1223,fred,Dev_003
1224,fred,Som_006
1225,hyatt19701978,1028
1226,hyatt19701978,4732
1227,perdue1992,163
1228,bailey1991,80
1229,hyatt19701978,4561
1230,bailey1991,77
1231,hyatt19701978,1036
1232,hyatt19701978,802
1233,bailey1991,118
1234,perdue1992,94
1235,rawick19771979,301
1236,perdue1992,15
1237,hyatt19701978,1660
1238,perdue1992,75
1239,rawick19771979,559
1240,perdue1992,35
1241,perdue1992,46
1242,hyatt19701978,1031
1243,bailey1991,27
1244,rawick19771979,1341
1245,bailey1991,56
1246,hyatt19701978,366
1247,hyatt19701978,1102
1248,hyatt19701978,4012
1249,hyatt19701978,1055
1250,wiley1980,129
1251,bailey1991,51
1252,perdue1992,37
1253,perdue1992,14
1254,bailey1991,61
1255,hyatt19701978,1389
1256,hyatt19701978,3947
1257,hyatt19701978,1832
1258,hyatt19701978,1398
1259,hyatt19701978,4670
1260,hyatt19701978,1832
1261,hyatt19701978,1062
1262,hyatt19701978,4505
1263,hyatt19701978,1622
1264,bailey1991,71
1265,hyatt19701978,3103
1266,bailey1991,66
1267,hyatt19701978,1051
1268,perdue1992,38
1269,perdue1992,14
1270,hyatt19701978,1621
1271,hyatt19701978,3193
1272,hyatt19701978,4724
1273,perdue1992,93
1274,hyatt19701978,1668
1275,bailey1991,93
1276,hyatt19701978,3229
1277,rawick19771979,981
1278,hyatt19701978,475
1279,hyatt19701978,1118
1280,hyatt19701978,2242
1281,hyatt19701978,55
1282,bailey1991,27
1283,hyatt19701978,475
1284,rawick19771979,1311
1285,rawick19771979,1310
1286,hyatt19701978,1531
1287,hyatt19701978,926
1288,hyatt19701978,1119
1289,hyatt19701978,913
1290,bailey1991,32
1291,bailey1991,59
1292,rawick19771979,570
1293,rawick19771979,125
1294,perdue1992,210
1295,perdue1992,44
1296,bailey1991,48
1297,bailey1991,84
1298,bailey1991,56
1299,hyatt19701978,1332
1300,hyatt19701978,366
1301,rawick19771979,125
1302,perdue1992,224
1303,rawick19771979,226
1304,hyatt19701978,4518
1305,rawick19771979,1347
1306,hyatt19701978,1458
1307,hyatt19701978,3228
1308,bailey1991,69
1309,bailey1991,31
1310,hyatt19701978,4510
1311,hyatt19701978,4568
1312,hyatt19701978,4525
1313,hyatt19701978,4544
1314,hyatt19701978,1390
1315,hyatt19701978,1314
1316,hyatt19701978,1666
1317,hyatt19701978,4547
1318,perdue1992,17
1319,bailey1991,62
1320,hyatt19701978,4711
1321,perdue1992,210
1322,hyatt19701978,175
1323,bailey1991,33
1324,berlin1985,429
1325,hyatt19701978,1664
1326,hyatt19701978,4577
1327,bailey1991,65
1328,hyatt19701978,4720
1329,bailey1991,66
1330,hyatt19701978,913
1331,hyatt19701978,926
1332,hyatt19701978,145
1333,hyatt19701978,4526
1334,bailey1991,108
1335,hyatt19701978,1571
1336,hyatt19701978,4171
1337,hyatt19701978,1622
1338,bailey1991,82
1339,crowley1966,64, quoted in Holm.1982:101
1342,crowley1966,64, quoted in Holm.1982:101
1343,parsons1918,58, quoted in Holm.1982:213
1347,parsons1918,58, quoted in Holm.1982:103
1352,holm1982,150
1353,holm1982,133
1357,psilinakis1996,80
1359,crowley1966,115, quoted in Holm.1982:103
1360,holm1982,133
1361,crowley1966,66, quoted in Holm.1982:101
1363,holm1982,228
1364,king1974,12, quoted in Holm.1982:227
1366,holm1982,220
1367,shilling1978,156
1368,shilling1978,150
1369,shilling1978,155
1370,shilling1978,150
1372,edwards1895,67, quoted in Holm.1982:182
1374,glintonmeicholas1995,10
1375,crowley1966,61, quoted in Holm.1982:204
1377,holm1982,9
1383,holm1982,205
1384,holm1982,80
1391,shilling1978,66
1401,shilling1978,35
1402,donnelly1997,30
1403,holm1982,134
1412,shilling1978,60
1413,holm1982,228
1414,parsons1918,53, quoted in Holm.1982:87
1424,holm1982,143
1429,shilling1978,145
1441,cottman1963,138, quoted in Holm.1982:80
1442,holm1982,80
1444,shilling1978,145
1448,holm1982,195
1453,dupuch1940,28, quoted in Holm.1982:209
1454,shilling1978,168
1455,shilling1978,167
1456,holm1982,111
1457,shilling1978,123
1893,brown1936,113
1896,brown1936,221
1898,moore1991,
1900,moore1991,82
1904,faragher1967,56
1906,moore1991,206
1907,moore1991,200
1908,faragher1967,24
1909,moore1991,201
1912,faragher1967,42
1914,moore1991,9
1915,moore1991,126
1917,brown1936,147
1918,brown1936,147
1919,moore1991,186
1920,faragher1967,42
1921,faragher1967,37
1922,brown1936,31
1923,gill1963,143
1924,moore1991,205
1925,brown1936,261
1927,moore1991,6
1928,faragher1967,10
1930,brown1936,215
1931,brown1936,423
1932,brown1936,199
1933,brown1936,208
1935,faragher1967,38
1936,faragher1967,22
1937,brown1936,185-186
1938,brown1936,185-186
1939,moore1991,155
1940,moore1991,7
1947,moore1991,6
1948,brown1936,437
1950,brown1936,115
1953,brown1936,137
1954,brown1936,127
1955,brown1936,208
1956,brown1936,135
1957,brown1936,109
1958,brown1936,135
1959,brown1936,124
1960,brown1936,134
1962,moore1991,127
1965,brown1936,109
1966,brown1936,110
1967,moore1991,88
1969,brown1936,137
1970,brown1936,122
1972,moore1991,64
1974,brown1936,327
1975,faragher1967,23
1976,brown1936,127
1977,brown1936,
1978,brown1936,199
1979,faragher1967,36
1980,moore1991,108
1981,brown1936,129
1985,faragher1967,40
1986,faragher1967,56
1987,brown1936,121
2043,pc,005
2044,pc,032
2045,pc,008
2046,pc,017
2047,pc,014
2048,munfla,C2873-4
2049,munfla,C1312
2050,pc,027
2051,pc,027
2052,munfla,C1308
2053,pc,010
2054,pc,018
2055,halpert1996,#048
2056,halpert1996,#023
2057,pc,001
2058,halpert1996,#101
2059,pc,030
2060,pc,018
2061,pc,029
2062,pc,004
2063,pc,004
2064,pc,033
2065,pc,030
2066,pc,002
2067,pc,033
2068,pc,002
2069,munfla,C1310
2070,pc,012
2071,pc,014
2072,pc,005
2073,pc,002
2074,pc,007
2075,pc,023
2076,pc,032
2077,pc,002
2078,pc,012
2079,pc,025
2080,pc,012
2081,munfla,C4549
2082,pc,003
2083,pc,029
2084,pc,029
2085,munfla,C1123
2086,munfla,C14667
2087,pc,033
2088,pc,025
2089,halpert1996,#046
2090,munfla,C2196
2091,munfla,C2873-4
2092,pc,033
2093,pc,004
2094,pc,029
2095,halpert1996,#101
2096,halpert1996,#101
2097,pc,009
2098,pc,010
2099,pc,011
2100,pc,020
2101,pc,008
2102,pc,009
2103,pc,010
2104,pc,028
2105,pc,027
2106,munfla,C1176
2107,pc,002
2108,pc,002
2109,pc,033
2110,pc,003
2111,pc,002
2112,pc,011
2113,pc,004
2114,pc,006
2115,munfla,C1375
2116,munfla,C1125
2117,pc,006
2118,pc,020
2119,munfla,C2170
2120,pc,010
2121,pc,004
2122,pc,029
2123,munfla,C1122
2124,pc,010
2125,munfla,C1125
2126,munfla,C14663
2127,munfla,C4549
2128,munfla,C1374
2129,pc,001
2130,pc,017
2131,pc,005
2132,pc,007
2133,pc,021
2134,munfla,C2200
2135,munfla,C14663
2136,pc,010
2137,pc,011
2138,pc,029
2139,pc,016
2140,munfla,C1312
2141,pc,007
2142,munfla,C14663
2143,munfla,C1121
2144,pc,011
2145,pc,009
2146,pc,001
2147,pc,034
2148,pc,023
2149,pc,030
2443,bartens2003,40
2444,bartens2003,49
2448,bartens2003,52
2450,bartens2003,51
2451,bartens2003,52
2452,bartens2003,52
2454,bartens2003,45
2455,bartens2003,45
2456,bartens2003,30
2460,bartens2003,36
2467,bartens2003,87
2468,bartens2003,104
2469,bartens2003,88
2470,bartens2003,84
2471,bartens2003,132
2473,bartens2003,80
2474,bartens2003,93
2475,bartens2003,46
2476,bartens2003,79
2481,metzger2001,6
2482,bartens2003,101
2483,bartens2003,101
2484,bartens2003,101
2485,bartens2003,102
2487,bartens2003,46
2492,bartens2003,127
2493,bartens2003,122
2495,bartens2003,131
2497,bartens2003,117
2500,bartens2003,105
2501,bartens2003,74
2502,bartens2003,41
2503,bartens2003,133
2504,bartens2003,133
2505,bartens2003,119
2506,bartens2003,118
2507,bartens2003,115
2581,sil2003,
3165,iceea,ICEbr-disc
3168,iceea,ICEbr-newsT
3169,iceea,ICEbus-letT
3170,iceea,ICEexam
3181,iceea,ICEcreative
3182,iceea,ICEsp-lectT
3186,iceea,ICErep-splash-T
3187,iceea,ICElocal_news_5
3200,iceea,ICE cl-lessT
3201,iceea,ICE convers-T
3202,iceea,ICEconvers-T
3210,iceea,ICEbr-talk
3612,iceaus,S2A-020:176
3613,iceaus,S1A-016(B):92
3614,iceaus,S1A-005:234
3615,iceaus,S1A-038:284
3616,art,ABCne1:[E1]
3617,iceaus,S1A-017:280
3618,art,ABCnat1:C10
3619,iceaus,S1A-031(D):287
3620,art,COMne4:[Caller 6:Ron,M
3621,iceaus,S1A-031:14
3622,iceaus,S1A-060:64
3623,iceaus,S1A-050:172
3624,iceaus,S1A-054:219
3625,iceaus,S1A-040:184
3626,iceaus,S1A-018:251
3627,iceaus,S1A-024:135
3628,art,COMe5:[P2]
3629,iceaus,S2A-059:71
3630,iceaus,S1B-078:169
3631,iceaus,S1A-039:367
3632,newbrook2001,130
3633,newbrook2001,130
3634,art,COMe1:C6
3635,iceaus,W1B-013 22
3636,iceaus,S1A-071:398
3637,art,ABCnat4:[P1]
3638,iceaus,S1A-028:52
3639,art,ABCnat4:[E1]
3640,iceaus,S1A-055:298
3641,art,ABCnat2
3642,iceaus,S1B-060:190
3643,iceaus,S1A-007(B):237
3644,collins2009,88
3645,iceaus,S1A-060:186
3646,iceaus,S1A-053:125
3647,iceaus,S1A-084:3150
3648,art,COMe4:[P1]
3649,eisikovits2009,45
3650,iceaus,S1A-038(A):101
3651,iceaus,S1A-082:153
3652,art,ABCe4:E1
3653,art,COMe4:C8
3654,iceaus,S1A-007:123
3655,iceaus,S1A-073:306
3656,art,COMne5:[E1]
3657,iceaus,S1A-066(A):459
3658,iceaus,S1A-073:304
3659,iceaus,S1A-073:306
3660,iceaus,S1B-015:37
3661,art,BCe1:E1
3662,iceaus,S1A-039:187
3663,iceaus,S1A-045:111
3664,art,ABC nat5:c48
3665,iceaus,W1A-006:41
3666,iceaus,W2F-004:148
3667,art,ABCe1:[C2]
3668,iceaus,S1A-064:286
3669,art,COMe4:P1
3670,iceaus,S1A-049:261
3671,iceaus,S1A-072:287
3672,iceaus,S1A-058:170
3673,art,ABCe4:M1
3674,iceaus,S1A-081:213
3675,iceaus,S1A-088(A):333
3676,art,ABCe2:[P1]
3677,iceaus,S1A-008(B):194
3678,iceaus,S1B-068:46
3679,iceaus,S1A-003:34
3680,iceaus,S1A-012:77
3803,eagleson1982,87
3804,malcolm1995,142
3805,waace,Leonora LB4
3806,callr,tape 117
3807,kaldor1979,422
3808,waace,Leonora L6
3811,waace,Leonora L5
3812,kaldor1979,422
3813,waace,Leonora L15 1
3814,rochecouste2003,17
3815,waace,Leonora L4B
3816,eagleson1982,233
3817,kaldor1979,422
3818,kaldor1991,73
3819,eagleson1982,129
3820,malcolm1995,143
3821,malcolm1995,143
3822,eagleson1982,221
3823,malcolm1995,147
3824,konigsberg2002,83
3825,callr,tape 117
3826,callr,Geraldton 158–159
3827,malcolm2002,39
3828,malcolm1999,49
3829,kaldor1979,423
3830,kaldor1979,423
3831,eagleson1982,87
3832,eagleson1982,87
3833,eagleson1982,87
3834,eagleson1982,87
3835,kaldor1979,423
3836,kaldor1979,423
3837,callr,96.4.11 bbq trans
3838,eagleson1982,187
3839,malcolm1999,58
3840,koch1991,95
3841,butcher2008,632
3842,eagleson1982,236
3843,kaldor1979,421
3844,eagleson1982,85
3845,eagleson1982,85
3846,callr,96.11.14 Nov bbq trans
3847,callr,96.4.11 Nov bbq trans
3848,sharpe1977,48
3849,waace,Tardun TM7
3850,eagleson1982,224
3851,butcher2008,633
3852,kaldor1979,421
3853,kaldor1979,422
3854,eagleson1982,86
3855,rochecouste2003,19
3856,eagleson1982,86
3857,eagleson1982,86
3858,eagleson1982,88
3859,eagleson1982,89
3860,kaldor1991,74
3861,callr,A day in the park
3862,eagleson1982,86
3863,eagleson1982,85
3864,eagleson1982,85
3865,kaldor1979,422
3866,eagleson1982,85
3867,eagleson1982,85
3868,eagleson1982,85
3869,eagleson1982,88
3870,eagleson1982,88
3871,eagleson1982,88
3872,konigsberg2002,86
3873,eagleson1982,92
3874,malcolm2007,387
3875,kaldor1979,422
3876,eagleson1982,92
3877,butcher2008,632
3878,butcher2008,632
3879,kaldor1991,78
3880,malcolm1999,53
3881,waace,Leonora L16A
3882,butcher2008,632
3883,malcolm1999,58
3884,waace,Leonora L15
3885,waace,Leonora L12
3886,callr,96.11.14 Nov bbq trans
3887,eagleson1982,91
3888,malcolm1994,297
3889,eagleson1982,95
3890,waace,Leonora L14 1
3891,waace,middle primary school lesson, South Hedland HM13
3892,eagleson1982,105
3893,butcher2008,632
3894,eagleson1982,227
3895,malcolm2007,390
3896,rochecouste2003,16
3897,waace,Leonora L14 1
3899,kaldor1979,426
3900,eagleson1982,92
3901,kaldor1979,426
3902,eagleson1982,92
3903,kaldor1979,427
3904,malcolm2002,40
3905,malcolm2007,392
3906,eagleson1982,94
3907,waace,Leonora L 19 2
3908,kaldor1979,422
3909,butcher2008,632
3910,waace,Leonora L 14 1
3912,malcolm2002,41, 64
3913,eagleson1982,92
3914,butcher2008,634
3915,butcher2008,632
3916,eagleson1982,92
3917,waace,Leonora L15
3918,callr,96.11.14 Nov bbq trans
3919,malcolm1999,52
3920,callr,014Kelt, Kellerberrin
3921,malcolm1999,85
3922,waace,M9
3923,butcher2008,632
3924,callr,Bennell grammar – Data sessions
3925,callr,tape 213, metro
3926,koch1991,98
3927,eagleson1982,104
3928,waace,Leonora L4B
3929,callr,Geraldton, 158–159
3930,kaldor1991,74
3931,eagleson1982,118
3932,eagleson1982,104
3933,rochecouste2003,23
3934,koch1991,101
3935,malcolm2007,389
3936,malcolm2002,49, 50
3937,malcolm2002,49, 50
3938,malcolm2002,49, 50
3939,malcolm2007,384
3940,waace,Leonora L 14 1
3941,kaldor1991,74
3942,callr,Kellerberrin
3943,butcher2008,632
3944,malcolm1999,84
3945,callr,A Day in the Park, p. 21
3946,malcolm2002,41
3947,butcher2008,633
3948,malcolm2002,41
3949,sharifian2003,334
3950,sharifian2003,338
3968,harris1993,144
3993,harris1993,158
3997,joyce1988,52
