example,source,description
418,jones2001,173
419,jones2001,173
450,barbe1993,192
451,barbe1993,192
470,barbe1993,210
509,allsopp1996,
1951,brown1936,126
1952,brown1936,133
958,orton19621971,
959,voices,Flint
962,penhallurick1991,178
963,lewis1989,115
963,connolly1989,127
965,penhallurick1991,178
966,penhallurick1991,178
967,voices,Talbot Green
968,parry1999,109
969,penhallurick1991,79
970,parry1999,109
971,voices,Builth Wells
972,parry1999,109
973,parry1999,109
975,parry1999,109
977,parry1999,109
978,voices,Flint
979,parry1999,108
979,penhallurick1991,176
980,penhallurick1994,164–165
981,parry1999,107
982,parry1999,105
982,penhallurick1991,157
983,connolly1989,127
984,parry1999,107
987,parry1999,108
988,parry1999,108
989,parry1999,108
990,penhallurick1991,182
991,connolly1989,127
992,penhallurick1991,180
995,parry1999,108
997,parry1999,108
998,paulasto2006,226
999,penhallurick1996,324
1000,mmb,Aberhosan
1001,parry1999,110
1002,connolly1989,127
1004,connolly1989,127
1005,lewis1989,118
1008,penhallurick1991,194
1009,voices,Tregaron
1010,parry1999,112-113
1011,voices,Talbot.Green
1012,voices,Builth.Wells
1020,voices,Bonymaen
1024,connolly1989,127
1025,voices,Bonymaen
1031,parry1999,112
1032,parry1999,112
1033,voices,.Talbot Green
1034,parry1999,112,117
1035,parry1999,113
1036,parry1999,114–115
1037,parry1999,116
1038,parry1999,117
1039,penhallurick1991,193
1040,voices,.Splott
1041,parry1999,119
1042,voices,Bonymaen
1047,parry1999,115
1048,parry1999,115
1049,parry1999,116
1050,voices,Splott
1051,parry1999,116
1052,voices,Flint
1053,penhallurick1991,205
1054,voices,Bonymaen
1059,parry1999,118
1060,parry1999,116
1061,connolly1989,127
1062,connolly1989,127
1063,voices,Talbot.Green
1064,connolly1989,127
1065,penhallurick1991,194
1066,voices,Talbot.Green
1067,voices,Bonymaen
1083,voices,Bonymaen
1084,voices,Builth.Wells
1090,parry1999,114
1091,voices,Bonymaen
1097,parry1999,114-115
1098,penhallurick1991,179
1102,voices,Talbot.Green
1103,parry1999,110
1104,penhallurick1991,179
1105,voices,Talbot.Green
