ID,Parameter_ID,Name,Description,Number
1-A,1,A,feature is pervasive or obligatory,1
1-B,1,B,feature is neither pervasive nor extremely rare,2
1-C,1,C,"feature exists, but is extremely rare",3
1-D,1,D,attested absence of feature,4
1-X,1,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1-NA,1,?,no information on feature is available,6
2-A,2,A,feature is pervasive or obligatory,1
2-B,2,B,feature is neither pervasive nor extremely rare,2
2-C,2,C,"feature exists, but is extremely rare",3
2-D,2,D,attested absence of feature,4
2-X,2,X,feature is not applicable (given the structural make-up of the variety/P/C),5
2-NA,2,?,no information on feature is available,6
3-A,3,A,feature is pervasive or obligatory,1
3-B,3,B,feature is neither pervasive nor extremely rare,2
3-C,3,C,"feature exists, but is extremely rare",3
3-D,3,D,attested absence of feature,4
3-X,3,X,feature is not applicable (given the structural make-up of the variety/P/C),5
3-NA,3,?,no information on feature is available,6
4-A,4,A,feature is pervasive or obligatory,1
4-B,4,B,feature is neither pervasive nor extremely rare,2
4-C,4,C,"feature exists, but is extremely rare",3
4-D,4,D,attested absence of feature,4
4-X,4,X,feature is not applicable (given the structural make-up of the variety/P/C),5
4-NA,4,?,no information on feature is available,6
5-A,5,A,feature is pervasive or obligatory,1
5-B,5,B,feature is neither pervasive nor extremely rare,2
5-C,5,C,"feature exists, but is extremely rare",3
5-D,5,D,attested absence of feature,4
5-X,5,X,feature is not applicable (given the structural make-up of the variety/P/C),5
5-NA,5,?,no information on feature is available,6
6-A,6,A,feature is pervasive or obligatory,1
6-B,6,B,feature is neither pervasive nor extremely rare,2
6-C,6,C,"feature exists, but is extremely rare",3
6-D,6,D,attested absence of feature,4
6-X,6,X,feature is not applicable (given the structural make-up of the variety/P/C),5
6-NA,6,?,no information on feature is available,6
7-A,7,A,feature is pervasive or obligatory,1
7-B,7,B,feature is neither pervasive nor extremely rare,2
7-C,7,C,"feature exists, but is extremely rare",3
7-D,7,D,attested absence of feature,4
7-X,7,X,feature is not applicable (given the structural make-up of the variety/P/C),5
7-NA,7,?,no information on feature is available,6
8-A,8,A,feature is pervasive or obligatory,1
8-B,8,B,feature is neither pervasive nor extremely rare,2
8-C,8,C,"feature exists, but is extremely rare",3
8-D,8,D,attested absence of feature,4
