ID,Parameter_ID,Name,Description,Number
8-X,8,X,feature is not applicable (given the structural make-up of the variety/P/C),5
8-NA,8,?,no information on feature is available,6
9-A,9,A,feature is pervasive or obligatory,1
9-B,9,B,feature is neither pervasive nor extremely rare,2
9-C,9,C,"feature exists, but is extremely rare",3
9-D,9,D,attested absence of feature,4
9-X,9,X,feature is not applicable (given the structural make-up of the variety/P/C),5
9-NA,9,?,no information on feature is available,6
10-A,10,A,feature is pervasive or obligatory,1
10-B,10,B,feature is neither pervasive nor extremely rare,2
10-C,10,C,"feature exists, but is extremely rare",3
10-D,10,D,attested absence of feature,4
10-X,10,X,feature is not applicable (given the structural make-up of the variety/P/C),5
10-NA,10,?,no information on feature is available,6
11-A,11,A,feature is pervasive or obligatory,1
11-B,11,B,feature is neither pervasive nor extremely rare,2
11-C,11,C,"feature exists, but is extremely rare",3
11-D,11,D,attested absence of feature,4
11-X,11,X,feature is not applicable (given the structural make-up of the variety/P/C),5
11-NA,11,?,no information on feature is available,6
12-A,12,A,feature is pervasive or obligatory,1
12-B,12,B,feature is neither pervasive nor extremely rare,2
12-C,12,C,"feature exists, but is extremely rare",3
12-D,12,D,attested absence of feature,4
12-X,12,X,feature is not applicable (given the structural make-up of the variety/P/C),5
12-NA,12,?,no information on feature is available,6
13-A,13,A,feature is pervasive or obligatory,1
13-B,13,B,feature is neither pervasive nor extremely rare,2
13-C,13,C,"feature exists, but is extremely rare",3
13-D,13,D,attested absence of feature,4
13-X,13,X,feature is not applicable (given the structural make-up of the variety/P/C),5
13-NA,13,?,no information on feature is available,6
14-A,14,A,feature is pervasive or obligatory,1
14-B,14,B,feature is neither pervasive nor extremely rare,2
14-C,14,C,"feature exists, but is extremely rare",3
14-D,14,D,attested absence of feature,4
14-X,14,X,feature is not applicable (given the structural make-up of the variety/P/C),5
14-NA,14,?,no information on feature is available,6
15-A,15,A,feature is pervasive or obligatory,1
15-B,15,B,feature is neither pervasive nor extremely rare,2
15-C,15,C,"feature exists, but is extremely rare",3
15-D,15,D,attested absence of feature,4
15-X,15,X,feature is not applicable (given the structural make-up of the variety/P/C),5
15-NA,15,?,no information on feature is available,6
16-A,16,A,feature is pervasive or obligatory,1
16-B,16,B,feature is neither pervasive nor extremely rare,2
16-C,16,C,"feature exists, but is extremely rare",3
16-D,16,D,attested absence of feature,4
16-X,16,X,feature is not applicable (given the structural make-up of the variety/P/C),5
16-NA,16,?,no information on feature is available,6
17-A,17,A,feature is pervasive or obligatory,1
17-B,17,B,feature is neither pervasive nor extremely rare,2
17-C,17,C,"feature exists, but is extremely rare",3
17-D,17,D,attested absence of feature,4
17-X,17,X,feature is not applicable (given the structural make-up of the variety/P/C),5
17-NA,17,?,no information on feature is available,6
18-A,18,A,feature is pervasive or obligatory,1
18-B,18,B,feature is neither pervasive nor extremely rare,2
18-C,18,C,"feature exists, but is extremely rare",3
18-D,18,D,attested absence of feature,4
18-X,18,X,feature is not applicable (given the structural make-up of the variety/P/C),5
18-NA,18,?,no information on feature is available,6
19-A,19,A,feature is pervasive or obligatory,1
19-B,19,B,feature is neither pervasive nor extremely rare,2
19-C,19,C,"feature exists, but is extremely rare",3
19-D,19,D,attested absence of feature,4
19-X,19,X,feature is not applicable (given the structural make-up of the variety/P/C),5
19-NA,19,?,no information on feature is available,6
20-A,20,A,feature is pervasive or obligatory,1
20-B,20,B,feature is neither pervasive nor extremely rare,2
20-C,20,C,"feature exists, but is extremely rare",3
20-D,20,D,attested absence of feature,4
20-X,20,X,feature is not applicable (given the structural make-up of the variety/P/C),5
20-NA,20,?,no information on feature is available,6
21-A,21,A,feature is pervasive or obligatory,1
21-B,21,B,feature is neither pervasive nor extremely rare,2
21-C,21,C,"feature exists, but is extremely rare",3
21-D,21,D,attested absence of feature,4
21-X,21,X,feature is not applicable (given the structural make-up of the variety/P/C),5
21-NA,21,?,no information on feature is available,6
22-A,22,A,feature is pervasive or obligatory,1
22-B,22,B,feature is neither pervasive nor extremely rare,2
22-C,22,C,"feature exists, but is extremely rare",3
22-D,22,D,attested absence of feature,4
22-X,22,X,feature is not applicable (given the structural make-up of the variety/P/C),5
22-NA,22,?,no information on feature is available,6
23-A,23,A,feature is pervasive or obligatory,1
23-B,23,B,feature is neither pervasive nor extremely rare,2
23-C,23,C,"feature exists, but is extremely rare",3
23-D,23,D,attested absence of feature,4
23-X,23,X,feature is not applicable (given the structural make-up of the variety/P/C),5
23-NA,23,?,no information on feature is available,6
24-A,24,A,feature is pervasive or obligatory,1
24-B,24,B,feature is neither pervasive nor extremely rare,2
24-C,24,C,"feature exists, but is extremely rare",3
24-D,24,D,attested absence of feature,4
24-X,24,X,feature is not applicable (given the structural make-up of the variety/P/C),5
24-NA,24,?,no information on feature is available,6
25-A,25,A,feature is pervasive or obligatory,1
25-B,25,B,feature is neither pervasive nor extremely rare,2
25-C,25,C,"feature exists, but is extremely rare",3
25-D,25,D,attested absence of feature,4
25-X,25,X,feature is not applicable (given the structural make-up of the variety/P/C),5
25-NA,25,?,no information on feature is available,6
26-A,26,A,feature is pervasive or obligatory,1
26-B,26,B,feature is neither pervasive nor extremely rare,2
26-C,26,C,"feature exists, but is extremely rare",3
26-D,26,D,attested absence of feature,4
26-X,26,X,feature is not applicable (given the structural make-up of the variety/P/C),5
26-NA,26,?,no information on feature is available,6
27-A,27,A,feature is pervasive or obligatory,1
27-B,27,B,feature is neither pervasive nor extremely rare,2
27-C,27,C,"feature exists, but is extremely rare",3
27-D,27,D,attested absence of feature,4
27-X,27,X,feature is not applicable (given the structural make-up of the variety/P/C),5
27-NA,27,?,no information on feature is available,6
28-A,28,A,feature is pervasive or obligatory,1
28-B,28,B,feature is neither pervasive nor extremely rare,2
28-C,28,C,"feature exists, but is extremely rare",3
28-D,28,D,attested absence of feature,4
28-X,28,X,feature is not applicable (given the structural make-up of the variety/P/C),5
28-NA,28,?,no information on feature is available,6
29-A,29,A,feature is pervasive or obligatory,1
29-B,29,B,feature is neither pervasive nor extremely rare,2
29-C,29,C,"feature exists, but is extremely rare",3
29-D,29,D,attested absence of feature,4
29-X,29,X,feature is not applicable (given the structural make-up of the variety/P/C),5
29-NA,29,?,no information on feature is available,6
30-A,30,A,feature is pervasive or obligatory,1
30-B,30,B,feature is neither pervasive nor extremely rare,2
30-C,30,C,"feature exists, but is extremely rare",3
30-D,30,D,attested absence of feature,4
30-X,30,X,feature is not applicable (given the structural make-up of the variety/P/C),5
30-NA,30,?,no information on feature is available,6
31-A,31,A,feature is pervasive or obligatory,1
31-B,31,B,feature is neither pervasive nor extremely rare,2
31-C,31,C,"feature exists, but is extremely rare",3
31-D,31,D,attested absence of feature,4
31-X,31,X,feature is not applicable (given the structural make-up of the variety/P/C),5
31-NA,31,?,no information on feature is available,6
32-A,32,A,feature is pervasive or obligatory,1
32-B,32,B,feature is neither pervasive nor extremely rare,2
32-C,32,C,"feature exists, but is extremely rare",3
32-D,32,D,attested absence of feature,4
32-X,32,X,feature is not applicable (given the structural make-up of the variety/P/C),5
32-NA,32,?,no information on feature is available,6
33-A,33,A,feature is pervasive or obligatory,1
33-B,33,B,feature is neither pervasive nor extremely rare,2
33-C,33,C,"feature exists, but is extremely rare",3
33-D,33,D,attested absence of feature,4
33-X,33,X,feature is not applicable (given the structural make-up of the variety/P/C),5
33-NA,33,?,no information on feature is available,6
34-A,34,A,feature is pervasive or obligatory,1
34-B,34,B,feature is neither pervasive nor extremely rare,2
34-C,34,C,"feature exists, but is extremely rare",3
34-D,34,D,attested absence of feature,4
34-X,34,X,feature is not applicable (given the structural make-up of the variety/P/C),5
34-NA,34,?,no information on feature is available,6
35-A,35,A,feature is pervasive or obligatory,1
35-B,35,B,feature is neither pervasive nor extremely rare,2
35-C,35,C,"feature exists, but is extremely rare",3
35-D,35,D,attested absence of feature,4
35-X,35,X,feature is not applicable (given the structural make-up of the variety/P/C),5
35-NA,35,?,no information on feature is available,6
36-A,36,A,feature is pervasive or obligatory,1
36-B,36,B,feature is neither pervasive nor extremely rare,2
36-C,36,C,"feature exists, but is extremely rare",3
36-D,36,D,attested absence of feature,4
36-X,36,X,feature is not applicable (given the structural make-up of the variety/P/C),5
36-NA,36,?,no information on feature is available,6
37-A,37,A,feature is pervasive or obligatory,1
37-B,37,B,feature is neither pervasive nor extremely rare,2
37-C,37,C,"feature exists, but is extremely rare",3
37-D,37,D,attested absence of feature,4
37-X,37,X,feature is not applicable (given the structural make-up of the variety/P/C),5
37-NA,37,?,no information on feature is available,6
38-A,38,A,feature is pervasive or obligatory,1
38-B,38,B,feature is neither pervasive nor extremely rare,2
38-C,38,C,"feature exists, but is extremely rare",3
38-D,38,D,attested absence of feature,4
38-X,38,X,feature is not applicable (given the structural make-up of the variety/P/C),5
38-NA,38,?,no information on feature is available,6
39-A,39,A,feature is pervasive or obligatory,1
39-B,39,B,feature is neither pervasive nor extremely rare,2
39-C,39,C,"feature exists, but is extremely rare",3
39-D,39,D,attested absence of feature,4
39-X,39,X,feature is not applicable (given the structural make-up of the variety/P/C),5
39-NA,39,?,no information on feature is available,6
40-A,40,A,feature is pervasive or obligatory,1
40-B,40,B,feature is neither pervasive nor extremely rare,2
40-C,40,C,"feature exists, but is extremely rare",3
40-D,40,D,attested absence of feature,4
40-X,40,X,feature is not applicable (given the structural make-up of the variety/P/C),5
40-NA,40,?,no information on feature is available,6
41-A,41,A,feature is pervasive or obligatory,1
41-B,41,B,feature is neither pervasive nor extremely rare,2
41-C,41,C,"feature exists, but is extremely rare",3
41-D,41,D,attested absence of feature,4
41-X,41,X,feature is not applicable (given the structural make-up of the variety/P/C),5
41-NA,41,?,no information on feature is available,6
42-A,42,A,feature is pervasive or obligatory,1
42-B,42,B,feature is neither pervasive nor extremely rare,2
42-C,42,C,"feature exists, but is extremely rare",3
42-D,42,D,attested absence of feature,4
42-X,42,X,feature is not applicable (given the structural make-up of the variety/P/C),5
42-NA,42,?,no information on feature is available,6
43-A,43,A,feature is pervasive or obligatory,1
43-B,43,B,feature is neither pervasive nor extremely rare,2
43-C,43,C,"feature exists, but is extremely rare",3
43-D,43,D,attested absence of feature,4
43-X,43,X,feature is not applicable (given the structural make-up of the variety/P/C),5
43-NA,43,?,no information on feature is available,6
44-A,44,A,feature is pervasive or obligatory,1
44-B,44,B,feature is neither pervasive nor extremely rare,2
44-C,44,C,"feature exists, but is extremely rare",3
44-D,44,D,attested absence of feature,4
44-X,44,X,feature is not applicable (given the structural make-up of the variety/P/C),5
44-NA,44,?,no information on feature is available,6
45-A,45,A,feature is pervasive or obligatory,1
45-B,45,B,feature is neither pervasive nor extremely rare,2
45-C,45,C,"feature exists, but is extremely rare",3
45-D,45,D,attested absence of feature,4
45-X,45,X,feature is not applicable (given the structural make-up of the variety/P/C),5
45-NA,45,?,no information on feature is available,6
46-A,46,A,feature is pervasive or obligatory,1
46-B,46,B,feature is neither pervasive nor extremely rare,2
46-C,46,C,"feature exists, but is extremely rare",3
46-D,46,D,attested absence of feature,4
46-X,46,X,feature is not applicable (given the structural make-up of the variety/P/C),5
46-NA,46,?,no information on feature is available,6
47-A,47,A,feature is pervasive or obligatory,1
47-B,47,B,feature is neither pervasive nor extremely rare,2
47-C,47,C,"feature exists, but is extremely rare",3
47-D,47,D,attested absence of feature,4
47-X,47,X,feature is not applicable (given the structural make-up of the variety/P/C),5
47-NA,47,?,no information on feature is available,6
48-A,48,A,feature is pervasive or obligatory,1
48-B,48,B,feature is neither pervasive nor extremely rare,2
48-C,48,C,"feature exists, but is extremely rare",3
48-D,48,D,attested absence of feature,4
48-X,48,X,feature is not applicable (given the structural make-up of the variety/P/C),5
48-NA,48,?,no information on feature is available,6
49-A,49,A,feature is pervasive or obligatory,1
49-B,49,B,feature is neither pervasive nor extremely rare,2
49-C,49,C,"feature exists, but is extremely rare",3
49-D,49,D,attested absence of feature,4
49-X,49,X,feature is not applicable (given the structural make-up of the variety/P/C),5
49-NA,49,?,no information on feature is available,6
50-A,50,A,feature is pervasive or obligatory,1
50-B,50,B,feature is neither pervasive nor extremely rare,2
50-C,50,C,"feature exists, but is extremely rare",3
50-D,50,D,attested absence of feature,4
50-X,50,X,feature is not applicable (given the structural make-up of the variety/P/C),5
50-NA,50,?,no information on feature is available,6
51-A,51,A,feature is pervasive or obligatory,1
51-B,51,B,feature is neither pervasive nor extremely rare,2
51-C,51,C,"feature exists, but is extremely rare",3
51-D,51,D,attested absence of feature,4
51-X,51,X,feature is not applicable (given the structural make-up of the variety/P/C),5
51-NA,51,?,no information on feature is available,6
52-A,52,A,feature is pervasive or obligatory,1
52-B,52,B,feature is neither pervasive nor extremely rare,2
52-C,52,C,"feature exists, but is extremely rare",3
52-D,52,D,attested absence of feature,4
52-X,52,X,feature is not applicable (given the structural make-up of the variety/P/C),5
52-NA,52,?,no information on feature is available,6
53-A,53,A,feature is pervasive or obligatory,1
53-B,53,B,feature is neither pervasive nor extremely rare,2
53-C,53,C,"feature exists, but is extremely rare",3
53-D,53,D,attested absence of feature,4
53-X,53,X,feature is not applicable (given the structural make-up of the variety/P/C),5
53-NA,53,?,no information on feature is available,6
54-A,54,A,feature is pervasive or obligatory,1
54-B,54,B,feature is neither pervasive nor extremely rare,2
54-C,54,C,"feature exists, but is extremely rare",3
54-D,54,D,attested absence of feature,4
54-X,54,X,feature is not applicable (given the structural make-up of the variety/P/C),5
54-NA,54,?,no information on feature is available,6
55-A,55,A,feature is pervasive or obligatory,1
55-B,55,B,feature is neither pervasive nor extremely rare,2
55-C,55,C,"feature exists, but is extremely rare",3
55-D,55,D,attested absence of feature,4
55-X,55,X,feature is not applicable (given the structural make-up of the variety/P/C),5
55-NA,55,?,no information on feature is available,6
56-A,56,A,feature is pervasive or obligatory,1
56-B,56,B,feature is neither pervasive nor extremely rare,2
56-C,56,C,"feature exists, but is extremely rare",3
56-D,56,D,attested absence of feature,4
56-X,56,X,feature is not applicable (given the structural make-up of the variety/P/C),5
56-NA,56,?,no information on feature is available,6
57-A,57,A,feature is pervasive or obligatory,1
57-B,57,B,feature is neither pervasive nor extremely rare,2
57-C,57,C,"feature exists, but is extremely rare",3
57-D,57,D,attested absence of feature,4
57-X,57,X,feature is not applicable (given the structural make-up of the variety/P/C),5
57-NA,57,?,no information on feature is available,6
58-A,58,A,feature is pervasive or obligatory,1
58-B,58,B,feature is neither pervasive nor extremely rare,2
58-C,58,C,"feature exists, but is extremely rare",3
58-D,58,D,attested absence of feature,4
58-X,58,X,feature is not applicable (given the structural make-up of the variety/P/C),5
58-NA,58,?,no information on feature is available,6
59-A,59,A,feature is pervasive or obligatory,1
59-B,59,B,feature is neither pervasive nor extremely rare,2
59-C,59,C,"feature exists, but is extremely rare",3
59-D,59,D,attested absence of feature,4
59-X,59,X,feature is not applicable (given the structural make-up of the variety/P/C),5
59-NA,59,?,no information on feature is available,6
60-A,60,A,feature is pervasive or obligatory,1
60-B,60,B,feature is neither pervasive nor extremely rare,2
60-C,60,C,"feature exists, but is extremely rare",3
60-D,60,D,attested absence of feature,4
60-X,60,X,feature is not applicable (given the structural make-up of the variety/P/C),5
60-NA,60,?,no information on feature is available,6
61-A,61,A,feature is pervasive or obligatory,1
61-B,61,B,feature is neither pervasive nor extremely rare,2
61-C,61,C,"feature exists, but is extremely rare",3
61-D,61,D,attested absence of feature,4
61-X,61,X,feature is not applicable (given the structural make-up of the variety/P/C),5
61-NA,61,?,no information on feature is available,6
62-A,62,A,feature is pervasive or obligatory,1
62-B,62,B,feature is neither pervasive nor extremely rare,2
62-C,62,C,"feature exists, but is extremely rare",3
62-D,62,D,attested absence of feature,4
62-X,62,X,feature is not applicable (given the structural make-up of the variety/P/C),5
62-NA,62,?,no information on feature is available,6
63-A,63,A,feature is pervasive or obligatory,1
63-B,63,B,feature is neither pervasive nor extremely rare,2
63-C,63,C,"feature exists, but is extremely rare",3
63-D,63,D,attested absence of feature,4
63-X,63,X,feature is not applicable (given the structural make-up of the variety/P/C),5
63-NA,63,?,no information on feature is available,6
64-A,64,A,feature is pervasive or obligatory,1
64-B,64,B,feature is neither pervasive nor extremely rare,2
64-C,64,C,"feature exists, but is extremely rare",3
64-D,64,D,attested absence of feature,4
64-X,64,X,feature is not applicable (given the structural make-up of the variety/P/C),5
64-NA,64,?,no information on feature is available,6
65-A,65,A,feature is pervasive or obligatory,1
65-B,65,B,feature is neither pervasive nor extremely rare,2
65-C,65,C,"feature exists, but is extremely rare",3
65-D,65,D,attested absence of feature,4
65-X,65,X,feature is not applicable (given the structural make-up of the variety/P/C),5
65-NA,65,?,no information on feature is available,6
66-A,66,A,feature is pervasive or obligatory,1
66-B,66,B,feature is neither pervasive nor extremely rare,2
66-C,66,C,"feature exists, but is extremely rare",3
66-D,66,D,attested absence of feature,4
66-X,66,X,feature is not applicable (given the structural make-up of the variety/P/C),5
66-NA,66,?,no information on feature is available,6
67-A,67,A,feature is pervasive or obligatory,1
67-B,67,B,feature is neither pervasive nor extremely rare,2
67-C,67,C,"feature exists, but is extremely rare",3
67-D,67,D,attested absence of feature,4
67-X,67,X,feature is not applicable (given the structural make-up of the variety/P/C),5
67-NA,67,?,no information on feature is available,6
68-A,68,A,feature is pervasive or obligatory,1
68-B,68,B,feature is neither pervasive nor extremely rare,2
68-C,68,C,"feature exists, but is extremely rare",3
68-D,68,D,attested absence of feature,4
68-X,68,X,feature is not applicable (given the structural make-up of the variety/P/C),5
68-NA,68,?,no information on feature is available,6
69-A,69,A,feature is pervasive or obligatory,1
69-B,69,B,feature is neither pervasive nor extremely rare,2
69-C,69,C,"feature exists, but is extremely rare",3
69-D,69,D,attested absence of feature,4
69-X,69,X,feature is not applicable (given the structural make-up of the variety/P/C),5
69-NA,69,?,no information on feature is available,6
70-A,70,A,feature is pervasive or obligatory,1
70-B,70,B,feature is neither pervasive nor extremely rare,2
70-C,70,C,"feature exists, but is extremely rare",3
70-D,70,D,attested absence of feature,4
70-X,70,X,feature is not applicable (given the structural make-up of the variety/P/C),5
70-NA,70,?,no information on feature is available,6
71-A,71,A,feature is pervasive or obligatory,1
71-B,71,B,feature is neither pervasive nor extremely rare,2
71-C,71,C,"feature exists, but is extremely rare",3
71-D,71,D,attested absence of feature,4
71-X,71,X,feature is not applicable (given the structural make-up of the variety/P/C),5
71-NA,71,?,no information on feature is available,6
72-A,72,A,feature is pervasive or obligatory,1
72-B,72,B,feature is neither pervasive nor extremely rare,2
72-C,72,C,"feature exists, but is extremely rare",3
72-D,72,D,attested absence of feature,4
72-X,72,X,feature is not applicable (given the structural make-up of the variety/P/C),5
72-NA,72,?,no information on feature is available,6
73-A,73,A,feature is pervasive or obligatory,1
73-B,73,B,feature is neither pervasive nor extremely rare,2
73-C,73,C,"feature exists, but is extremely rare",3
73-D,73,D,attested absence of feature,4
73-X,73,X,feature is not applicable (given the structural make-up of the variety/P/C),5
73-NA,73,?,no information on feature is available,6
74-A,74,A,feature is pervasive or obligatory,1
74-B,74,B,feature is neither pervasive nor extremely rare,2
74-C,74,C,"feature exists, but is extremely rare",3
74-D,74,D,attested absence of feature,4
74-X,74,X,feature is not applicable (given the structural make-up of the variety/P/C),5
74-NA,74,?,no information on feature is available,6
75-A,75,A,feature is pervasive or obligatory,1
75-B,75,B,feature is neither pervasive nor extremely rare,2
75-C,75,C,"feature exists, but is extremely rare",3
75-D,75,D,attested absence of feature,4
75-X,75,X,feature is not applicable (given the structural make-up of the variety/P/C),5
75-NA,75,?,no information on feature is available,6
76-A,76,A,feature is pervasive or obligatory,1
76-B,76,B,feature is neither pervasive nor extremely rare,2
76-C,76,C,"feature exists, but is extremely rare",3
76-D,76,D,attested absence of feature,4
76-X,76,X,feature is not applicable (given the structural make-up of the variety/P/C),5
76-NA,76,?,no information on feature is available,6
77-A,77,A,feature is pervasive or obligatory,1
77-B,77,B,feature is neither pervasive nor extremely rare,2
77-C,77,C,"feature exists, but is extremely rare",3
77-D,77,D,attested absence of feature,4
77-X,77,X,feature is not applicable (given the structural make-up of the variety/P/C),5
77-NA,77,?,no information on feature is available,6
78-A,78,A,feature is pervasive or obligatory,1
78-B,78,B,feature is neither pervasive nor extremely rare,2
78-C,78,C,"feature exists, but is extremely rare",3
78-D,78,D,attested absence of feature,4
78-X,78,X,feature is not applicable (given the structural make-up of the variety/P/C),5
78-NA,78,?,no information on feature is available,6
79-A,79,A,feature is pervasive or obligatory,1
79-B,79,B,feature is neither pervasive nor extremely rare,2
79-C,79,C,"feature exists, but is extremely rare",3
79-D,79,D,attested absence of feature,4
79-X,79,X,feature is not applicable (given the structural make-up of the variety/P/C),5
79-NA,79,?,no information on feature is available,6
80-A,80,A,feature is pervasive or obligatory,1
80-B,80,B,feature is neither pervasive nor extremely rare,2
80-C,80,C,"feature exists, but is extremely rare",3
80-D,80,D,attested absence of feature,4
80-X,80,X,feature is not applicable (given the structural make-up of the variety/P/C),5
80-NA,80,?,no information on feature is available,6
81-A,81,A,feature is pervasive or obligatory,1
81-B,81,B,feature is neither pervasive nor extremely rare,2
81-C,81,C,"feature exists, but is extremely rare",3
81-D,81,D,attested absence of feature,4
81-X,81,X,feature is not applicable (given the structural make-up of the variety/P/C),5
81-NA,81,?,no information on feature is available,6
82-A,82,A,feature is pervasive or obligatory,1
82-B,82,B,feature is neither pervasive nor extremely rare,2
82-C,82,C,"feature exists, but is extremely rare",3
82-D,82,D,attested absence of feature,4
82-X,82,X,feature is not applicable (given the structural make-up of the variety/P/C),5
82-NA,82,?,no information on feature is available,6
83-A,83,A,feature is pervasive or obligatory,1
83-B,83,B,feature is neither pervasive nor extremely rare,2
83-C,83,C,"feature exists, but is extremely rare",3
83-D,83,D,attested absence of feature,4
83-X,83,X,feature is not applicable (given the structural make-up of the variety/P/C),5
83-NA,83,?,no information on feature is available,6
84-A,84,A,feature is pervasive or obligatory,1
84-B,84,B,feature is neither pervasive nor extremely rare,2
84-C,84,C,"feature exists, but is extremely rare",3
84-D,84,D,attested absence of feature,4
84-X,84,X,feature is not applicable (given the structural make-up of the variety/P/C),5
84-NA,84,?,no information on feature is available,6
85-A,85,A,feature is pervasive or obligatory,1
85-B,85,B,feature is neither pervasive nor extremely rare,2
85-C,85,C,"feature exists, but is extremely rare",3
85-D,85,D,attested absence of feature,4
85-X,85,X,feature is not applicable (given the structural make-up of the variety/P/C),5
85-NA,85,?,no information on feature is available,6
86-A,86,A,feature is pervasive or obligatory,1
86-B,86,B,feature is neither pervasive nor extremely rare,2
86-C,86,C,"feature exists, but is extremely rare",3
86-D,86,D,attested absence of feature,4
86-X,86,X,feature is not applicable (given the structural make-up of the variety/P/C),5
86-NA,86,?,no information on feature is available,6
87-A,87,A,feature is pervasive or obligatory,1
87-B,87,B,feature is neither pervasive nor extremely rare,2
87-C,87,C,"feature exists, but is extremely rare",3
87-D,87,D,attested absence of feature,4
87-X,87,X,feature is not applicable (given the structural make-up of the variety/P/C),5
87-NA,87,?,no information on feature is available,6
88-A,88,A,feature is pervasive or obligatory,1
88-B,88,B,feature is neither pervasive nor extremely rare,2
88-C,88,C,"feature exists, but is extremely rare",3
88-D,88,D,attested absence of feature,4
88-X,88,X,feature is not applicable (given the structural make-up of the variety/P/C),5
88-NA,88,?,no information on feature is available,6
89-A,89,A,feature is pervasive or obligatory,1
89-B,89,B,feature is neither pervasive nor extremely rare,2
89-C,89,C,"feature exists, but is extremely rare",3
89-D,89,D,attested absence of feature,4
89-X,89,X,feature is not applicable (given the structural make-up of the variety/P/C),5
89-NA,89,?,no information on feature is available,6
90-A,90,A,feature is pervasive or obligatory,1
90-B,90,B,feature is neither pervasive nor extremely rare,2
90-C,90,C,"feature exists, but is extremely rare",3
90-D,90,D,attested absence of feature,4
90-X,90,X,feature is not applicable (given the structural make-up of the variety/P/C),5
90-NA,90,?,no information on feature is available,6
91-A,91,A,feature is pervasive or obligatory,1
91-B,91,B,feature is neither pervasive nor extremely rare,2
91-C,91,C,"feature exists, but is extremely rare",3
91-D,91,D,attested absence of feature,4
91-X,91,X,feature is not applicable (given the structural make-up of the variety/P/C),5
91-NA,91,?,no information on feature is available,6
92-A,92,A,feature is pervasive or obligatory,1
92-B,92,B,feature is neither pervasive nor extremely rare,2
92-C,92,C,"feature exists, but is extremely rare",3
92-D,92,D,attested absence of feature,4
92-X,92,X,feature is not applicable (given the structural make-up of the variety/P/C),5
92-NA,92,?,no information on feature is available,6
93-A,93,A,feature is pervasive or obligatory,1
93-B,93,B,feature is neither pervasive nor extremely rare,2
93-C,93,C,"feature exists, but is extremely rare",3
93-D,93,D,attested absence of feature,4
93-X,93,X,feature is not applicable (given the structural make-up of the variety/P/C),5
93-NA,93,?,no information on feature is available,6
94-A,94,A,feature is pervasive or obligatory,1
94-B,94,B,feature is neither pervasive nor extremely rare,2
94-C,94,C,"feature exists, but is extremely rare",3
94-D,94,D,attested absence of feature,4
94-X,94,X,feature is not applicable (given the structural make-up of the variety/P/C),5
94-NA,94,?,no information on feature is available,6
95-A,95,A,feature is pervasive or obligatory,1
95-B,95,B,feature is neither pervasive nor extremely rare,2
95-C,95,C,"feature exists, but is extremely rare",3
95-D,95,D,attested absence of feature,4
95-X,95,X,feature is not applicable (given the structural make-up of the variety/P/C),5
95-NA,95,?,no information on feature is available,6
96-A,96,A,feature is pervasive or obligatory,1
96-B,96,B,feature is neither pervasive nor extremely rare,2
96-C,96,C,"feature exists, but is extremely rare",3
96-D,96,D,attested absence of feature,4
96-X,96,X,feature is not applicable (given the structural make-up of the variety/P/C),5
96-NA,96,?,no information on feature is available,6
97-A,97,A,feature is pervasive or obligatory,1
